"0) Number","1) Category","2) Name of the tour","3) Locations","4) Short description","5) Primary country","6) Secondary country","7) Third country"
"1","European Escapes","Romantic Italian Journey","Venice, Florence, Rome","Experience iconic sites with world-class art, architecture and ancient history while staying in unrivalled luxury boutique hotels.","Italy","NA","NA"
"2","European Escapes","Amalfi Coast Splendor","Positano, Ravello, Capri","Indulge in the breathtaking beauty of Italy's most romantic coastline with cliffside dining, private boat tours, and luxury accommodations overlooking the Mediterranean.","Italy","NA","NA"
"3","European Escapes","Epic Southern Italy","Amalfi Coast, Basilicata, Puglia","Tour of southern Italy featuring the glamour of Amalfi Coast and pristine beaches of Puglia with luxury boutique hotels and authentic culinary experiences.","Italy","NA","NA"
"4","European Escapes","Tuscan Countryside Retreat","Florence, Chianti, Siena","Immerse yourselves in the rolling hills of Tuscany, staying in converted villas, savoring farm-to-table cuisine, and exploring charming hilltop towns.","Italy","NA","NA"
"5","European Escapes","Greek Island Odyssey","Athens, Santorini, Mykonos","Discover the beauty and romance of Greece's most iconic islands, from historical Athens to the stunning caldera views and sunsets of Santorini and the vibrant energy of Mykonos.","Greece","NA","NA"
"6","European Escapes","Hidden Greek Treasures","Athens, Milos, Sifnos, Naxos","Off-the-beaten-track island hopping with unique experiences, secret hideaways, and authentic cuisine away from the tourist crowds.","Greece","NA","NA"
"7","European Escapes","Ultimate Peloponnese","Mani, Monemvasia, Porto Heli","Journey through Greece's unspoilt Peloponnese with dramatic landscapes, ancient architecture and breathtaking views at boutique luxury properties.","Greece","NA","NA"
"8","European Escapes","Aegean Sailing Adventure","Mykonos, Santorini, Crete, Rhodes","A luxurious sailing adventure through the Greek Islands, experiencing the best of the Aegean Sea, with secluded coves, gourmet dining onboard, and exclusive island hopping.","Greece","NA","NA"
"9","European Escapes","French Riviera Romance","Paris, Cannes, Côte d'Azur, Monaco","Journey through France's most enchanting destinations, from Paris's cultural wonders to the glamour and azure waters of the Mediterranean coast.","France","NA","NA"
"10","European Escapes","Provence & Côte d'Azur","Aix-en-Provence, Saint-Tropez, Nice","Immerse yourselves in the lavender fields, charming villages, and sun-drenched beaches of southern France with exceptional wine and cuisine.","France","NA","NA"
"11","European Escapes","Parisian Chic & Champagne","Paris, Champagne Region","Experience the romance of Paris with luxury stays, fine dining, and then venture into the Champagne region for vineyard tours and tastings.","France","NA","NA"
"12","European Escapes","Sunlit Soul of Spain","Madrid, Seville, Granada, Montecorto","Journey through Spain's vibrant culture from Madrid to Andalucia with magnificent architecture, historic cities, and scenic countryside.","Spain","NA","NA"
"13","European Escapes","Spanish Coastal Romance","Barcelona, Valencia, Mallorca","Experience the Mediterranean charm of Spain's eastern coast, combining urban sophistication with island relaxation and exceptional cuisine.","Spain","NA","NA"
"14","European Escapes","Balearic Island Bliss","Mallorca, Ibiza, Formentera","Discover the diverse beauty of Spain's Mediterranean islands, from Mallorca's mountain vistas to Ibiza's secluded coves and Formentera's pristine beaches.","Spain","NA","NA"
"15","European Escapes","Andalusian Dream","Seville, Cordoba, Granada, Ronda","Explore the heart of Andalusia, from the Alcazar of Seville to the Alhambra of Granada, experiencing the passion of flamenco and Moorish heritage.","Spain","NA","NA"
"16","European Escapes","Portuguese Passion","Lisbon, Douro Valley, Algarve","Experience Portugal's rich culture, renowned wine region, and stunning southern coastline while staying in converted palaces and luxury quintas.","Portugal","NA","NA"
"17","European Escapes","Epic Portugal","Lisbon, Comporta","Combines cosmopolitan city exploration with pristine beaches and exceptional gastronomy experiences in Portugal's most stylish destinations.","Portugal","NA","NA"
"18","European Escapes","Alpine Elegance","Lake Como, Swiss Alps, Lake Lucerne","Experience the majestic beauty of the Alps across Italy and Switzerland, with lakeside luxury, mountain adventures, and world-class hospitality.","Switzerland","Italy","NA"
"19","European Escapes","Croatian Dalmatian Coast","Dubrovnik, Hvar, Split","Explore the crystal-clear waters and historic towns of Croatia's stunning coastline with private yacht excursions and palace accommodations.","Croatia","NA","NA"
"20","European Escapes","British Isles Adventure","London, Scottish Highlands, Cotswolds","Find romance among the idyllic landscapes and quaint villages of England and Scotland, with luxury accommodations and activities tailored to your interests.","United Kingdom","NA","NA"
"21","European Escapes","Scottish Highlands & Island Escape","Edinburgh, Isle of Skye, Inverness","Experience the rugged beauty of Scotland, from the vibrant city of Edinburgh to the mystical Isle of Skye and the historic Highlands.","United Kingdom","NA","NA"
"22","European Escapes","Irish Castles & Coastlines","Dublin, Ring of Kerry, Galway","Discover the charm of Ireland, staying in historic castles, exploring dramatic coastlines, and enjoying traditional Irish music and hospitality.","Ireland","NA","NA"
"23","European Escapes","Turkish Delights","Istanbul, Cappadocia, Bodrum","Varied itinerary combining cultural sights, otherworldly landscapes, and the Turkish coastline with hot air balloon rides and private hammam experiences.","Turkey","NA","NA"
"24","European Escapes","Scandinavian Splendor","Copenhagen, Stockholm, Oslo","Experience the best of Scandinavia with its cutting-edge design, rich history, and stunning natural beauty across three captivating capitals.","Denmark","Sweden","Norway"
"25","European Escapes","Norwegian Fjords & Northern Lights","Bergen, Tromsø, Lofoten Islands","Witness the breathtaking fjords of Norway, chase the Northern Lights, and experience Arctic adventures in a land of midnight sun and polar nights.","Norway","NA","NA"
"26","European Escapes","Romantic Rhine River Cruise","Amsterdam, Cologne, Strasbourg, Basel","Embark on a luxurious river cruise along the Rhine, exploring charming medieval towns and picturesque landscapes while enjoying world-class cuisine and service.","Germany","France","Netherlands"
"27","Asian Wonders","Bali Serenity","Ubud, Munduk, Manggis","Perfect for an indulgent Balinese honeymoon, taking in Bali's beautiful rural scenery, spiritual temples, and luxury beach retreats.","Indonesia","NA","NA"
"28","Asian Wonders","Epic Bali and Lombok","Ubud, Uluwatu, Lombok","An exciting Indonesian break with culture, varied scenery, adventure, tropical sun and beach bars while staying at luxury boutique properties.","Indonesia","NA","NA"
"29","Asian Wonders","Thailand Treasures","Bangkok, Chiang Mai, Koh Samui","Experience Thailand's vibrant culture, ancient temples, and pristine beaches with luxury accommodations and private experiences throughout.","Thailand","NA","NA"
"30","Asian Wonders","Perfect Thailand","Bangkok, Chiang Mai, Phuket","Expertly mapped itinerary including floating market tours, ethical elephant experiences, and island adventures with private pool villas.","Thailand","NA","NA"
"31","Asian Wonders","Luxury in Thailand","Bangkok, Koh Yao Noi, Krabi","The ultimate secluded escape featuring Six Senses Yao Noi and other exotic resorts offering privacy, luxury, and unforgettable experiences.","Thailand","NA","NA"
"32","Asian Wonders","Vietnam Heritage & Beach","Hanoi, Hoi An, Con Dao Islands","Discover Vietnam's rich cultural heritage and pristine beaches, from the historic streets of Hanoi to the untouched paradise of Con Dao.","Vietnam","NA","NA"
"33","Asian Wonders","Japan's Timeless Beauty","Tokyo, Kyoto, Hakone","Experience Japan's delightful diversity with stops at the main highlights, combining ancient traditions with modern luxury and natural hot springs.","Japan","NA","NA"
"34","Asian Wonders","Exceptional Japan","Tokyo, Kiso Valley, Kyoto, Miyajimaguchi, Lake Kawaguchi","Explore a different side of Japan by walking the Nakasendo Trail, an ancient postal route through wild forests, while experiencing the country's most inspiring cities.","Japan","NA","NA"
"35","Asian Wonders","Maldives Overwater Dream","Male Atoll, Baa Atoll","Experience the ultimate in barefoot luxury with overwater villas, private plunge pools, and world-class diving in the crystal-clear waters of the Indian Ocean.","Maldives","NA","NA"
"36","Asian Wonders","Twin Centre Seychelles","Denis Island, Praslin","Experience the diversity of the Seychelles by island hopping with barefoot luxury on Denis Private Island and stylish luxury on Praslin.","Seychelles","NA","NA"
"37","Asian Wonders","Epic Oman and the Maldives","Muscat, Wahiba Sands, Nizwa, Maldives","Combines adrenaline-filled moments and cultural adventures with relaxation, exploring Oman's deserts and mountains before finishing in the Maldives.","Oman","Maldives","NA"
"38","Asian Wonders","Treasures of the Tropics: Sri Lanka and the Maldives","Sri Lanka, Maldives","Blend of Sri Lanka's rich culture and the Maldives' serene beauty, from ancient ruins and tea hills to safari in Yala, ending with pristine beaches.","Sri Lanka","Maldives","NA"
"39","Asian Wonders","Honeymoon to Sri Lanka","Koggala, Yala National Park, Tea Country, Bentota","Combines idyllic beaches, breathtaking adventures, and culture, from spotting leopards on safari and sipping fresh tea in the rolling hills to oceanfront luxury.","Sri Lanka","NA","NA"
"40","Asian Wonders","Jewels of Jordan & Petra","Amman, Petra, Wadi Rum, Dead Sea","Discover the ancient city of Petra, explore the Wadi Rum desert, and float in the Dead Sea in this unforgettable Jordanian adventure.","Jordan","NA","NA"
"41","Asian Wonders","Honeymoon to China","Shanghai, Beijing, Lijiang, Yangshuo, Hong Kong","Journey through China's cosmopolitan cities, incredible history, and stunning scenery from the Great Wall to the karst mountains of Yangshuo.","China","NA","NA"
"42","Asian Wonders","Active China","Shanghai, Lijiang, Shangri-La, Guilin, Longji, Hong Kong","Perfect for those who like to be more active, with plenty of opportunity to explore China's beautiful countryside in an adventurous way.","China","NA","NA"
"43","Asian Wonders","Maldives and Dubai","Dubai, Maldives","Combines the exotic Middle East with a desert safari and shopping in Dubai with overwater bungalow luxury in the Maldives.","United Arab Emirates","Maldives","NA"
"44","Asian Wonders","Borneo Rainforest & Reef","Sabah, Malaysian Borneo","An adventurous escape into the wilds of Borneo, exploring lush rainforests, encountering orangutans, and diving in pristine coral reefs.","Malaysia","NA","NA"
"45","Asian Wonders","Bhutanese Himalayan Retreat","Paro, Thimphu","Discover the Land of the Thunder Dragon, with its unique culture, stunning monasteries, and breathtaking Himalayan landscapes.","Bhutan","NA","NA"
"46","African Adventures","Ultimate South Africa","Kalahari Reserve, Cape Town, Winelands","Tour of South Africa's select properties, from the wilds of the Kalahari to sophisticated Cape Town and the scenic wine regions.","South Africa","NA","NA"
"47","African Adventures","Ultimate South Africa and Mozambique","Cape Town, The Winelands, Madikwe, Benguerra Island","World-class dining, safaris and paradise shores with exclusive experiences and relaxation across two stunning African countries.","South Africa","Mozambique","NA"
"48","African Adventures","Epic Kenya","Nairobi, Laikipia, Maasai Mara, Zanzibar","Wildlife adventures in Kenya's private conservancies with highly trained safari experts, ending with beach relaxation on Zanzibar.","Kenya","Tanzania","NA"
"49","African Adventures","Ultimate Rwanda and Tanzania","Virunga Volcanoes, Serengeti, Zanzibar","Combines the wildlife thrills of tracking gorillas in Rwanda and watching big game in the Serengeti with the sandy beaches of vibrant Zanzibar.","Rwanda","Tanzania","NA"
