Tour_Name,Countries,Duration,Collection,Target_Price_Range,Priority_Score,Strategic_Reason,Status
"Luxurious Nile & Red Sea","Egypt",10,"Adventure & Discovery","8000-12000",5,"Fill single-tour country + combine culture/beach","Planned"
"Imperial Cities & Atlas Mountains","Morocco",12,"Culture & Elegance","7000-10000",5,"Fill single-tour country + add variety","Planned"
"Petra & Wadi Rum Luxury","Jordan",8,"Adventure & Discovery","9000-13000",5,"Fill single-tour country","Planned"
"Malaysian Peninsula Discovery","Malaysia",10,"Culture & Elegance","6000-9000",4,"Fill single-tour country","Planned"
"Dubai & Abu Dhabi Ultimate","UAE",7,"Culture & Elegance","12000-18000",5,"Fill single-tour country + Mini Moon + Ultra Luxury","Planned"
"Vietnam North to South","Vietnam",14,"Adventure & Discovery","7000-11000",5,"Fill single-tour country","Planned"
"Croatian Island Hopping","Croatia",10,"Beach & Relaxation","8000-12000",5,"Fill single-tour country","Planned"
"German Romantic Road","Germany",12,"Road Trips","7000-10000",5,"Fill single-tour country + Road Trip","Planned"
"Iceland Fire & Ice","Iceland",8,"Adventure & Discovery","9000-13000",4,"Fill single-tour country","Planned"
"Irish Countryside & Castles","Ireland",10,"Culture & Elegance","6000-9000",4,"Fill single-tour country","Planned"
"Canadian Rockies Adventure","Canada",12,"Road Trips","8000-12000",5,"Fill single-tour country + Road Trip","Planned"
"Patagonia Cross-Border","Argentina,Chile",16,"Adventure & Discovery","15000-22000",5,"Multi-country + Ultra Luxury + Fill both countries","Planned"
"Brazil Coastal Paradise","Brazil",12,"Beach & Relaxation","9000-13000",4,"Fill single-tour country","Planned"
"Machu Picchu & Amazon","Peru",10,"Adventure & Discovery","8000-12000",5,"Fill single-tour country","Planned"
"Paris Luxury Weekend","France",7,"Culture & Elegance","8000-12000",5,"Mini Moon + Major city","Planned"
"Rome & Tuscany Express","Italy",7,"Culture & Elegance","7000-11000",5,"Mini Moon + Popular destination","Planned"
"Barcelona & Costa Brava","Spain",7,"Beach & Relaxation","6000-9000",4,"Mini Moon + Beach combo","Planned"
"Singapore City & Gardens","Singapore",7,"Culture & Elegance","8000-12000",4,"Mini Moon + Asian gateway","Planned"
"Hong Kong & Macau","Hong Kong",7,"Culture & Elegance","9000-13000",4,"Mini Moon + Multi-destination","Planned"
"Barbados Beach Bliss","Barbados",7,"Beach & Relaxation","7000-11000",4,"Mini Moon + Caribbean","Planned"
"St. Lucia Luxury Retreat","St. Lucia",7,"Beach & Relaxation","8000-12000",4,"Mini Moon + Island paradise","Planned"
"Scottish Highlands & Islands","Scotland",7,"Adventure & Discovery","6000-9000",4,"Mini Moon + Domestic luxury","Planned"
"Cornwall Coast & Countryside","England",7,"Beach & Relaxation","5000-8000",3,"Mini Moon + Domestic option","Planned"
"New York City Luxury","USA",7,"Culture & Elegance","12000-18000",5,"Mini Moon + Major destination + Ultra Luxury","Planned"
"Private Maldives Resort","Maldives",10,"Beach & Relaxation","20000-30000",5,"Ultra Luxury + Private island","Planned"
"Seychelles Exclusive Island","Seychelles",8,"Beach & Relaxation","18000-25000",5,"Ultra Luxury + Fill single-tour + Private island","Planned"
"Kenya Exclusive Safari Lodge","Kenya",10,"Safari & Wildlife","18000-25000",5,"Ultra Luxury + Exclusive lodge","Planned"
"Tanzania Private Conservancy","Tanzania",12,"Safari & Wildlife","20000-28000",5,"Ultra Luxury + Exclusive experience","Planned"
"Orient Express Venice-Paris","France,Italy",8,"Culture & Elegance","15000-22000",5,"Ultra Luxury + Train journey + Multi-country","Planned"
"Rocky Mountaineer Canada","Canada",10,"Road Trips","12000-18000",5,"Ultra Luxury + Train + Road Trip combo","Planned"
"Greek Islands Private Yacht","Greece",10,"Beach & Relaxation","18000-25000",5,"Ultra Luxury + Private yacht + Island hopping","Planned"
