tour_code,main_country,region,tour_name,duration,tags
AFR001,South Africa,Africa,"Wild Romance Safari: Cape Town & Kruger National Park",10 days,"safari, cultural, adventure"
AFR002,South Africa,Africa,"Cape Winelands & Garden Route Coastal Journey",12 days,"cultural, relax, foodie, scenic"
AFR003,South Africa,Africa,"Safari & Sea: Kruger to Mozambique Beaches",14 days,"safari, relax, adventure, beach"
AFR004,Morocco,Africa,"Moroccan Magic: Marrakech to Sahara Luxury",9 days,"adventure, cultural, scenic, desert"
AFR005,Morocco,Africa,"Imperial Cities & Atlas Mountains: Royal Morocco Tour",11 days,"cultural, scenic, foodie, hiking"
AFR006,Tanzania,Africa,"Serengeti & Zanzibar: Safari and Seashore Escape",13 days,"safari, beach, relax, adventure"
AFR007,Tanzania,Africa,"Kilimanjaro Sunrise & Ngorongoro Safari Adventure",15 days,"adventure, safari, hiking, scenic"
AFR008,Kenya,Africa,"Masai Mara & Diani Beach: Kenya's Dual Paradise",12 days,"safari, beach, cultural, relax"
AFR009,Kenya,Africa,"Out of Africa: Kenya's Classic Safari Romance",10 days,"safari, cultural, scenic, wildlife"
AFR010,Botswana,Africa,"Delta Dreams: Okavango & Chobe Exclusive Safari",9 days,"safari, wildlife, adventure, scenic"
AFR011,Botswana,Africa,"Botswana's Wildlife & Zambia's Victoria Falls",12 days,"safari, adventure, scenic, wildlife"
AFR012,Namibia,Africa,"Desert Stars & Skeleton Coast: Namibia's Natural Wonder",11 days,"adventure, scenic, desert, wildlife"
AFR013,Madagascar,Africa,"Baobabs & Beaches: Madagascar's Hidden Treasures",14 days,"adventure, wildlife, beach, cultural"
ASI001,Japan,Asia,"Cherry Blossoms & Ryokans: Tokyo to Kyoto Journey",10 days,"cultural, scenic, foodie, historic"
ASI002,Japan,Asia,"Alpine Japan: Tokyo, Hakone & Kyoto Cultural Circuit",12 days,"cultural, scenic, relax, foodie"
ASI003,Japan,Asia,"Hokkaido Winter Wonderland & Hot Springs Retreat",9 days,"adventure, relax, scenic, winter"
ASI004,Thailand,Asia,"Thai Treasures: Bangkok, Chiang Mai & Koh Samui",12 days,"cultural, beach, relax, foodie"
ASI005,Thailand,Asia,"Andaman Luxury: Phuket, Phi Phi & Krabi Islands",10 days,"beach, diving, relax, scenic"
ASI006,Vietnam,Asia,"Vietnam Unveiled: Hanoi, Halong Bay & Hoi An",11 days,"cultural, scenic, foodie, historic"
ASI007,Vietnam,Asia,"Mekong Delta & Con Dao Islands: Vietnam's Water Wonders",13 days,"cultural, beach, relax, adventure"
ASI008,Indonesia,Asia,"Balinese Bliss: Ubud, Seminyak & Nusa Dua",10 days,"cultural, beach, relax, spiritual"
ASI009,Indonesia,Asia,"Java Temples & Bali Beaches: Indonesian Heritage",14 days,"cultural, beach, historic, relax"
ASI010,Indonesia,Asia,"Komodo Dragon Expedition & Bali Luxury Retreat",12 days,"adventure, wildlife, beach, diving"
ASI011,India,Asia,"Royal Rajasthan: Palaces & Desert Romance",14 days,"cultural, historic, scenic, luxury"
ASI012,India,Asia,"Kerala Backwaters & Malabar Coast Serenity",11 days,"relax, cultural, scenic, foodie"
ASI013,India,Asia,"Golden Triangle & Himalayan Foothills Retreat",13 days,"cultural, historic, scenic, adventure"
ASI014,Maldives,Asia,"Maldivian Overwater Paradise: Island-Hopping Luxury",8 days,"beach, diving, relax, luxury"
ASI015,Maldives,Asia,"Underwater Wonders: Maldives Marine Exploration",9 days,"diving, snorkeling, beach, marine wildlife"
ASI016,Bhutan,Asia,"Himalayan Kingdom: Bhutan's Sacred Valleys",10 days,"cultural, spiritual, hiking, scenic"
ASI017,Sri Lanka,Asia,"Ceylon Tea Trails & South Coast Paradise",12 days,"cultural, beach, scenic, foodie"
OCE001,Australia,Oceania,"Great Barrier Reef & Daintree Rainforest Adventure",11 days,"diving, adventure, wildlife, natural wonder"
OCE002,Australia,Oceania,"Uluru Sunset & Tropical North Queensland Expedition",13 days,"adventure, cultural, scenic, wildlife"
OCE003,Australia,Oceania,"Tasmania Wilderness & Winery Journey",10 days,"nature, foodie, hiking, scenic"
OCE004,New Zealand,Oceania,"Alpine to Ocean: New Zealand's South Island Adventure",12 days,"adventure, scenic, hiking, wildlife"
OCE005,New Zealand,Oceania,"Maori Heritage & Volcanic Wonders: North Island Exploration",10 days,"cultural, adventure, scenic, geothermal"
OCE006,New Zealand,Oceania,"Milford Sound & Marlborough: New Zealand's Natural Splendor",14 days,"scenic, adventure, foodie, wildlife"
OCE007,Fiji,Oceania,"Blue Lagoon Paradise: Fiji's Private Island Escape",8 days,"beach, diving, relax, luxury"
OCE008,French Polynesia,Oceania,"Bora Bora & Moorea: Tahitian Overwater Dream",10 days,"beach, diving, relax, luxury"
OCE009,French Polynesia,Oceania,"Society Islands Sailing: French Polynesian Paradise",12 days,"sailing, beach, adventure, relax"
