Country / Countries,Tour Name,A quick description,Number of days,Price
Norway,Polar Luxury,A luxury expedition to the polar regions.,15,"£22,000"
Norway,Arctic Summer Midnight Sun,An Arctic adventure during the summer to experience the midnight sun.,10,"£12,000"
Argentina,Argentine Tango & Patagonia,An exploration of Argentina's vibrant culture in Buenos Aires and the wild landscapes of Patagonia.,14,"£9,000"
"Argentina, Chile",Patagonia Cross-Border Adventure,A cross-border road trip adventure through the stunning landscapes of Patagonia in Argentina and Chile.,14,"£10,500"
"Argentina, Chile",Patagonian Summer Adventure,An adventurous tour of Patagonia during the summer months.,14,"£11,500"
Australia,Outback Adventure,An adventurous journey into the heart of the Australian Outback.,10,"£10,000"
Australia,Great Barrier Reef,"An exploration of the world's largest coral reef system, the Great Barrier Reef.",10,"£10,000"
Australia,Tasmania Luxury,A luxury tour of the beautiful and wild island of Tasmania.,12,"£12,000"
"Australia, New Zealand, French Polynesia",Pacific Rim Grand Adventure,"A grand adventure around the Pacific Rim, visiting Australia, New Zealand, and French Polynesia.",21,"£20,000"
Austria,Vienna Classical Romance,A 7-day romantic tour of Vienna with stays in palace hotels and tickets to the opera and classical music concerts.,7,"£8,800"
Bahamas,Bahamian Rhapsody & Island Hopping,"An island-hopping adventure in the Bahamas, from bustling Nassau to tranquil out-islands.",10,"£7,200"
Botswana,Botswana Mobile Luxury Safari,"A mobile luxury safari in Botswana, getting you close to the wildlife.",10,"£26,000"
Brazil,Brazilian Rhythm & Rainforest,"A tour of Brazil's iconic cities of Rio de Janeiro and Salvador, and the lush Amazon rainforest.",13,"£8,800"
Canada,Maritime Provinces,"A tour of Canada's charming Maritime provinces, including Nova Scotia, Prince Edward Island, and New Brunswick.",12,"£7,500"
Canada,Rocky Mountain Express,A scenic train journey through the majestic Canadian Rocky Mountains.,9,"£8,000"
Canada,Canadian Maritime Heritage Drive,A heritage drive through Canada's Maritime provinces.,12,"£8,000"
Canada,Rocky Mountaineer Gold Service,The ultimate luxury train journey through the Canadian Rockies with GoldLeaf Service.,9,"£15,000"
Chile,Chilean Fjords & Desert,"A journey through Chile's diverse landscapes, from the Atacama Desert to the southern fjords.",15,"£9,500"
Colombia,Colombian Coffee & Caribbean Charm,A tour of Colombia's coffee region and the colorful colonial city of Cartagena.,10,"£6,800"
"Costa Rica, Panama, Guatemala",Central America Nature & Culture,"A tour of the nature and culture of Costa Rica, Panama, and Guatemala.",18,"£13,000"
Croatia,Dubrovnik & Plitvice,A tour combining the historic city of Dubrovnik with the natural beauty of Plitvice Lakes National Park.,8,"£6,500"
Croatia,Adriatic Islands,An island-hopping adventure along Croatia's stunning Adriatic coast.,10,"£7,800"
Croatia,Croatian Coast Yacht Adventure,A yacht adventure along the stunning Croatian coast.,8,"£19,500"
"Croatia, Slovenia, Montenegro",Balkan Coastal Discovery,"A discovery tour of the Balkan coast, visiting Croatia, Slovenia, and Montenegro.",15,"£10,500"
Curacao,Curacao's Colorful Culture & Caribbean Soul,A vibrant tour of Curacao's colorful Dutch colonial architecture and beautiful beaches.,8,"£6,500"
Czech Republic,Prague Fairytale Romance,A 7-day fairytale romance in Prague with stays in castle hotels and baroque luxury.,7,"£8,000"
Denmark,Danish Design & Coastal Living,A tour of Denmark's stylish cities and charming coastal towns.,8,"£6,200"
Egypt,Pyramids & Sinai Adventure,An adventurous exploration of Egypt's ancient pyramids and the rugged landscapes of the Sinai Peninsula.,12,"£5,500"
Egypt,Luxurious Nile & Red Sea,"A luxurious journey through Egypt, combining a Nile cruise with a Red Sea resort stay.",10,"£7,000"
"Egypt, Jordan, Turkey, Greece",Ancient Civilizations Route,"A journey through ancient civilizations, visiting Egypt, Jordan, Turkey, and Greece.",22,"£17,500"
"Estonia, Latvia, Lithuania",Baltic Heritage Triangle,"A tour of the Baltic states of Estonia, Latvia, and Lithuania.",12,"£9,000"
Fiji,Fijian Bliss & Island Dreams,A luxurious escape to the beautiful islands of Fiji.,9,"£7,000"
Fiji,Fiji Private Island Retreat,A private island retreat in Fiji for the ultimate in luxury and seclusion.,10,"£18,500"
Finland,Finnish Lakes & Northern Lights,An exploration of Finland's thousands of lakes and the chance to witness the Aurora Borealis.,9,"£7,000"
France,Loire Valley Châteaux,"A journey through the Loire Valley, visiting its magnificent châteaux and vineyards.",8,"£7,500"
France,Provence Luxury,"A luxurious tour of the Provence region of France, famous for its lavender fields and charming villages.",7,"£8,200"
France,Paris Honeymoon Elegance,"A 7-day romantic tour of Paris featuring luxury hotels, private tours, and Seine cruises.",7,"£8,500"
France,French Riviera Ultra,"An ultra-luxurious tour of the glamorous French Riviera, including St. Tropez, Cannes, and Monaco.",7,"£12,000"
France,France Michelin Star Journey,"A culinary journey through France, dining at Michelin-starred restaurants.",8,"£18,500"
"France, Italy, Spain, Portugal",Wine Regions of the World,"A tour of the world's most famous wine regions, including France, Italy, Spain, and Portugal.",18,"£15,500"
"France, Switzerland, Austria",Alpine Romance Route,"A romantic journey through the Alps of France, Switzerland, and Austria.",14,"£12,000"
French Polynesia,French Polynesia Overwater Ultra,An ultra-luxury overwater bungalow experience in French Polynesia.,10,"£26,000"
Georgia,Georgian Wine & Mountains,An exploration of Georgia's ancient wine-making traditions and stunning mountain scenery.,9,"£7,000"
Germany,Fairytale Road,"A scenic journey along Germany's Fairytale Road, visiting charming towns and castles.",9,"£6,000"
Germany,Bavaria & Rhine Valley,A tour of Germany's picturesque Bavaria region and the romantic Rhine Valley.,10,"£6,800"
Germany,German Fairytale Road,"A scenic road trip along Germany's Fairytale Route, from Munich to the Rhine castles.",10,"£7,000"
"Germany, Austria, Czech Republic",European Christmas Markets Luxury,A luxury tour of Europe's magical Christmas markets.,8,"£8,000"
"Germany, Switzerland, Austria",Central European Imperial Cities,"A tour of the imperial cities of Germany, Switzerland, and Austria.",14,"£11,500"
"Ghana, Togo, Benin",African Heritage Coast,A cultural tour of West Africa's heritage coast.,18,"£13,500"
Greece,Olympic Heritage,A tour of Greece's ancient Olympic sites and a visit to the modern Olympic Stadium in Athens.,8,"£7,000"
Greece,Crete Ancient & Modern,An exploration of Crete's ancient Minoan civilization and its vibrant modern culture.,10,"£7,800"
Greece,Cyclades Private Yacht,A private yacht charter through the stunning Cyclades islands of Greece.,8,"£15,000"
Greece,Greek Islands Private Yacht Charter,A private yacht charter through the Greek Islands.,8,"£21,500"
Guatemala,Guatemalan Grandeur & Mayan Mysteries,A tour of Guatemala's stunning Lake Atitlan and the ancient Mayan ruins of Tikal.,11,"£7,200"
"Hong Kong, Macau",Hong Kong & Macau Luxury,"A 7-day luxury tour of Hong Kong and Macau, from skyscraper views to casino glamour.",7,"£9,200"
Iceland,Icelandic Wonders & Northern Lights,"A tour of Iceland's unique landscapes, including glaciers, geysers, and the chance to see the Northern Lights.",8,"£7,500"
India,Indian Golden Triangle Cool Season,A tour of India's Golden Triangle during the cool and pleasant winter season.,10,"£9,500"
"India, Sri Lanka, Maldives",Spice Route Heritage,"A heritage tour along the Spice Route, visiting India, Sri Lanka, and the Maldives.",20,"£16,500"
Indonesia,Indonesian Archipelago,"A luxury tour exploring the islands of Java, Bali, and Lombok.",16,"£11,000"
Ireland,Heritage & Coastal,A tour of Ireland's rich heritage and dramatic coastal scenery.,10,"£6,500"
Ireland,Wild Atlantic Way,A road trip along Ireland's spectacular Wild Atlantic Way.,12,"£7,200"
Italy,Sicilian Romance,"A romantic journey through Sicily, exploring its history, cuisine, and stunning coastlines.",8,"£7,500"
Italy,Florence & Chianti,A cultural and culinary tour of Florence and the beautiful Chianti wine region.,8,"£7,800"
Italy,Italian Riviera Grand Tour,"A grand road trip along the Italian Riviera, from Cinque Terre to Portofino.",8,"£7,800"
Italy,Northern Lakes Luxury,"A luxurious tour of Italy's picturesque northern lakes, including Como and Garda.",7,"£9,000"
Italy,Roman Holiday Deluxe,"A 7-day deluxe tour of Rome with private Vatican tours, luxury hotels, and a day trip to Tuscany.",7,"£9,000"
Italy,Italian Truffle & Wine Ultra,"An ultra-luxury tour of Italy's Piedmont region, focused on truffle hunting and fine wines.",8,"£17,500"
"Italy, Greece, Croatia",Mediterranean Summer Ultra,An ultra-luxury summer tour of the Mediterranean.,14,"£18,000"
"Italy, Greece, Spain",Mediterranean Grand Tour,"A grand tour of the Mediterranean, visiting Italy, Greece, and Spain.",21,"£15,000"
Japan,Kyushu Cultural,"A cultural tour of Japan's third-largest island, Kyushu, known for its active volcanoes, hot springs, and rich history.",10,"£9,500"
