tour_id,tour_name,search_terms
e8f14085-bcbe-4014-bde1-02f185cecc1a,Egypt Unveiled,"{'landmarks': ['Pyramids Giza', 'Nile River Egypt', 'Luxor Temple', 'Karnak Temple', 'Red Sea Beach Egypt'], 'cultural': ['Egyptian Market', 'Ancient Egypt Hieroglyphs'], 'activities': ['Red Sea Snorkeling']}"
9e922220-2740-4420-a9ce-9592fbf1f091,Exceptional Australia and New Zealand,"{'landmarks': ['Waiheke Island Vineyard', 'Rotorua Geothermal', 'Queenstown Lake Wakatipu', 'Sydney Opera House', 'Uluru Sunset'], 'cultural': ['Maori Culture New Zealand', 'Australia Fine Dining'], 'activities': ['Sailing Whitsundays']}"
1d392b30-7a89-4ca7-853e-24ee139bddeb,Ultimate New Zealand,"{'landmarks': ['Milford Sound New Zealand', 'Queenstown Lake Wakatipu', 'Bay of Islands New Zealand', 'Auckland Harbour', 'Southern Alps New Zealand'], 'cultural': ['Maori Culture New Zealand', 'New Zealand winery'], 'activities': ['Scenic Flight New Zealand']}"
0c6afafc-131b-4033-9ad9-7feaf07193b7,Cook Islands Retreat,"{'landmarks': ['Aitutaki Lagoon', 'Rarotonga Beach', 'Cook Islands Volcanic Landscape', 'Turquoise Water South Pacific', 'Palm Tree Beach Cook Islands'], 'cultural': ['Polynesian People', 'Cook Islands Market'], 'activities': ['Snorkeling Coral Reef']}"
92ca3a46-51a4-4904-8435-fbe6562f72a5,Samoan Serenity,"{'landmarks': ['To Sua Ocean Trench', 'Samoa Beach', 'Samoa Waterfall', 'Samoa Volcanic', 'Samoa Lagoon'], 'cultural': ['Samoan Culture', 'Samoan Village'], 'activities': ['Snorkeling Samoa']}"
c6662803-277b-4137-a06e-b1937ddc1f76,Nayara Tented Camp,"{'landmarks': ['Arenal Volcano Costa Rica', 'Costa Rica Rainforest', 'Luxury Glamping', 'Costa Rica Pacific Coast', 'Toucan Costa Rica'], 'cultural': ['Costa Rican Coffee Plantation', 'Tropical Fruit Costa Rica'], 'activities': ['Wildlife Spotting Costa Rica']}"
ec3807ac-b70e-45ad-afcd-b25685e35095,Caribbean All-Inclusive Luxury,"{'landmarks': ['St Lucia Pitons', 'St Lucia Beach', 'Caribbean Infinity Pool', 'St Lucia Sunset View', 'St Lucia Tropical Landscape'], 'cultural': ['Caribbean Cuisine', 'Tropical Cocktails Beach'], 'activities': ['Caribbean Sailing']}"
f732ee6f-7c54-4c1f-96f9-2e823d85b45a,Sandals Royal Curacao,"{'landmarks': ['Willemstad Curacao', 'Curacao Beaches', 'Caribbean Coral Reef', 'Curacao Caribbean Sea', 'Curacao Sunset'], 'cultural': ['Willemstad Colorful Houses', 'Caribbean Food'], 'activities': ['Snorkeling Caribbean']}"
50e1910d-6361-4a36-8c17-a2e8ede9a620,Bahamian Bliss,"{'landmarks': ['Exuma Cays Bahamas', 'Bahamas Blue Water', 'Bahamas Deserted Beach', 'Exuma Islands Aerial', 'Bahamas Swimming Pigs'], 'cultural': ['Bahamas Conch', 'Bahamas Colorful Houses'], 'activities': ['Bahamas Snorkeling']}"
bed31a2b-9d7a-41b0-bac4-67b5a77bbe5b,Limitless Brazil,"{'landmarks': ['Sugarloaf Mountain Rio', 'Rio de Janeiro Aerial', 'Amazon Rainforest Brazil', 'Amazon River Sunset', 'Trancoso Beach'], 'cultural': ['Brazilian Samba Dancer', 'Caipirinha Drink Brazil'], 'activities': ['Rainforest Hiking Brazil']}"
